Language;Group;Speaker;Grapheme;Task;File;Word;Plosion_index;VOT;Length;Gender;Burst
French;Monolinguals;202;v;PW;b__202_PW_vame;vame;3.903593058;142.290249;147.278912;M;
French;Monolinguals;202;v;PW;b__202_PW_varouse;varouse;7.52345578;107.301587;158.136765;M;
French;Monolinguals;202;v;PW;b__202_PW_vaupans;vaupans;3.076310588;100.211437;135.374897;M;
French;Monolinguals;202;v;PW;b__202_PW_veillade;veillade;4.757721186;174.739229;179.727891;M;
French;Monolinguals;202;v;PW;b__202_PW_verrile;verrile;3.096769607;100.226757;105.21542;M;
French;Monolinguals;202;v;PW;b__202_PW_vespe;vespe;3.134348735;120.272109;125.260771;M;
French;Monolinguals;202;v;PW;b__202_PW_vianpe;vianpe;3.032089358;113.968254;135.923274;M;
French;Monolinguals;202;v;PW;b__202_PW_viblite;viblite;2.907127627;135.510204;140.498866;M;
French;Monolinguals;202;v;PW;b__202_PW_vije;vije;7.185084175;112.154195;149.785618;M;
French;Monolinguals;202;v;PW;b__202_PW_viloupe;viloupe;5.699802649;147.097506;212.845358;M;
French;Monolinguals;202;v;PW;b__202_PW_vipe;vipe;4.331031977;133.0839;150.064032;M;
French;Monolinguals;202;v;PW;b__202_PW_viteuil;viteuil;7.035399932;123.99093;167.280577;M;
French;Monolinguals;202;v;PW;b__202_PW_vobur;vobur;2.87275465;127.460317;170.464477;M;
French;Monolinguals;202;v;PW;b__202_PW_vodais;vodais;4.048091691;116.9161;176.585535;M;
French;Monolinguals;202;v;PW;b__202_PW_voissule;voissule;2.718363118;186.712018;191.70068;M;
French;Monolinguals;202;v;PW;b__202_PW_voûle;voûle;3.040512214;102.970522;156.520014;M;
French;Monolinguals;202;v;PW;b__202_PW_vèbe;vèbe;3.853286167;125.895692;130.884354;M;
French;Monolinguals;202;v;PW;b__202_PW_vô;vô;3.230199765;175.736961;336.440847;M;
French;Monolinguals;202;v;reading;b__202_read_vaisseau;vaisseau;5.670149827;44.013605;107.9243;M;
French;Monolinguals;202;v;reading;b__202_read_valet;valet;4.927162462;74.345602;127.593127;M;
French;Monolinguals;202;v;reading;b__202_read_valise;valise;5.757243547;50.294785;55.283447;M;
French;Monolinguals;202;v;reading;b__202_read_vase;vase;4.871548641;109.863946;131.963745;M;
French;Monolinguals;202;v;reading;b__202_read_vautour;vautour;2.365216895;132.341183;137.329845;M;
French;Monolinguals;202;v;reading;b__202_read_veau;veau;2.069480999;146.28585;151.274512;M;
French;Monolinguals;202;v;reading;b__202_read_veilleuse;veilleuse;11.57385923;56.281179;102.960093;M;
French;Monolinguals;202;v;reading;b__202_read_ver;ver;5.120768462;74.376417;116.911956;M;
French;Monolinguals;202;v;reading;b__202_read_verrou;verrou;3.930932046;106.992137;117.03884;M;
French;Monolinguals;202;v;reading;b__202_read_veste;veste;9.187396899;38.321995;85.045177;M;
French;Monolinguals;202;v;reading;b__202_read_viande;viande;10.87625143;81.723356;105.348329;M;
French;Monolinguals;202;v;reading;b__202_read_vide;vide;5.080395641;74.671202;147.276887;M;
French;Monolinguals;202;v;reading;b__202_read_village;village;5.249853856;22.370941;34.426984;M;
French;Monolinguals;202;v;reading;b__202_read_ville;ville;3.915547246;97.346939;122.915517;M;
French;Monolinguals;202;v;reading;b__202_read_visage;visage;5.25806329;84.603175;100.894942;M;
French;Monolinguals;202;v;reading;b__202_read_vitrine;vitrine;18.13492139;14.065384;44.205493;M;
French;Monolinguals;202;v;reading;b__202_read_voiture;voiture;4.127431539;102.471655;107.460317;M;
French;Monolinguals;202;v;reading;b__202_read_volet;volet;3.663057593;117.777778;157.910431;M;
French;Monolinguals;202;v;reading;b__202_read_voleur;voleur;4.784887578;104.943311;138.653195;M;
French;Monolinguals;202;v;reading;b__202_read_voûte;voûte;3.535132423;108.77551;142.012547;M;
French;Monolinguals;203;b;naming;b__203_picnam_bague;bague;5.004183771;171.496599;176.485261;M;
French;Monolinguals;203;b;naming;b__203_picnam_balai;balai;10.52817403;100.090703;105.079365;M;
French;Monolinguals;203;b;naming;b__203_picnam_barrette;barrette;10.95294922;119.092971;124.081633;M;
French;Monolinguals;203;b;naming;b__203_picnam_beau;beau;14.80545968;90.544218;95.53288;M;
French;Monolinguals;203;b;naming;b__203_picnam_bec;bec;18.31973856;102.789116;107.777778;M;
French;Monolinguals;203;b;naming;b__203_picnam_benne;benne;6.018778496;169.410431;174.399093;M;
French;Monolinguals;203;b;naming;b__203_picnam_berceau;berceau;14.16699655;66.077098;71.06576;M;
French;Monolinguals;203;b;naming;b__203_picnam_berceuse;berceuse;24.65386831;76.00907;80.997732;M;
French;Monolinguals;203;b;naming;b__203_picnam_biche;biche;3.416712072;111.519274;116.507937;M;
French;Monolinguals;203;b;naming;b__203_picnam_bijou;bijou;4.411088716;119.569161;124.557823;M;
French;Monolinguals;203;b;naming;b__203_picnam_bille;bille;11.33691783;105.034014;110.022676;M;
French;Monolinguals;203;b;naming;b__203_picnam_bistrot;bistrot;15.88670286;49.251701;54.240363;M;
French;Monolinguals;203;b;naming;b__203_picnam_bitume;bitume;3.215854576;72.494331;77.482993;M;
French;Monolinguals;203;b;naming;b__203_picnam_biÃ¨re;bière;15.17726089;83.0839;88.072562;M;
French;Monolinguals;203;b;naming;b__203_picnam_bocal;bocal;23.77820213;91.85941;96.848073;M;
French;Monolinguals;203;b;naming;b__203_picnam_bonnet;bonnet;5.398510359;73.038549;78.027211;M;
French;Monolinguals;203;b;naming;b__203_picnam_bossu;bossu;3.542042369;40.884354;45.873016;M;
French;Monolinguals;203;b;naming;b__203_picnam_bout;bout;17.64602499;152.222222;157.210884;M;
French;Monolinguals;203;b;naming;b__203_picnam_boÃ®tier;boîtier;8.305678183;110.340136;115.328798;M;
